idarticulo,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado
1,8,EJML6D1A82,Económico Pan Integral,95.82,110,El complemento perfecto para cualquier comida.,img00001.jpg,true
2,3,RBIRFY8PF2,Calidad Pan Integral,83.72,51,El favorito de todos a un precio accesible.,img00002.jpg,true
3,9,B0URP6ECZ7,Fresco Chocolate,87.91,107,Disfruta de la mejor calidad en cada bocado.,img00003.jpg,true
4,1,I2J0WQTJJZ,Importado Chocolate,76.7,6,Cultivado localmente con prácticas sostenibles.,img00004.jpg,true
5,1,QWI4BZ23VX,Delicioso Vino,5.52,198,Empacado con nutrientes y sabor.,img00005.jpg,true
6,1,C8C5TXET00,Fresco Vino,84.59,64,De los mejores productores locales.,img00006.jpg,true
7,4,4Y7RL2HSO3,Fresco Vino,95.32,88,Disfruta de la mejor calidad en cada bocado.,img00007.jpg,true
8,2,OU6V4W33FN,Económico Vino,39.6,169,El placer indulgente para tus antojos.,img00008.jpg,true
9,9,U1KK3S6ICB,Delicioso Queso,38.3,24,De los mejores productores locales.,img00009.jpg,true
10,4,9SBSAOBIV4,Fresco Pan Integral,42.22,101,Empacado con nutrientes y sabor.,img00010.jpg,true
11,5,3P6MJAUZUL,Calidad Queso,19.77,43,El complemento perfecto para cualquier comida.,img00011.jpg,true
12,2,T3JXYKI73A,Calidad Helado,24.57,57,Empacado con nutrientes y sabor.,img00012.jpg,true
13,6,R282YW10IG,Local Salmón,83.48,43,El favorito de todos a un precio accesible.,img00013.jpg,true
14,10,W7K596RXL2,Económico Vino,31.87,121,La opción más saludable para tu familia.,img00014.jpg,true
15,1,DZHOA6H9K0,Fresco Salmón,9.15,30,El favorito de todos a un precio accesible.,img00015.jpg,true
16,4,OGZ7LLTKG2,Económico Pechuga de Pollo,38.05,73,El complemento perfecto para cualquier comida.,img00016.jpg,true
17,8,D4XSARDT1R,Natural Pechuga de Pollo,49.45,33,El complemento perfecto para cualquier comida.,img00017.jpg,true
18,6,YA749SKAPJ,Fresco Queso,41.68,145,Empacado con nutrientes y sabor.,img00018.jpg,true
19,4,ZQA884Q1W3,Local Lechuga,30.73,141,El complemento perfecto para cualquier comida.,img00019.jpg,true
20,7,WDRAQY1ENA,Calidad Chocolate,25.88,146,Importado directamente para garantizar la frescura.,img00020.jpg,true
21,4,3G3X5NHFCX,Económico Lechuga,68.53,149,Cultivado localmente con prácticas sostenibles.,img00021.jpg,true
22,7,WT9S7AS24C,Económico Lechuga,48.49,110,El complemento perfecto para cualquier comida.,img00022.jpg,true
23,8,JGHIBWH9M6,Delicioso Chocolate,53.37,68,De los mejores productores locales.,img00023.jpg,true
24,3,9YR1CFCA98,Fresco Helado,46.78,178,El favorito de todos a un precio accesible.,img00024.jpg,true
25,2,D2OZ7A737T,Natural Detergente,13.07,85,El favorito de todos a un precio accesible.,img00025.jpg,true
26,4,ANADR4ESDX,Premium Salmón,75.47,75,Cultivado localmente con prácticas sostenibles.,img00026.jpg,true
27,3,GPTV5TVXU2,Económico Helado,75.18,122,Empacado con nutrientes y sabor.,img00027.jpg,true
28,9,8K1EHYUOS4,Orgánico Lechuga,1.65,46,Empacado con nutrientes y sabor.,img00028.jpg,true
29,5,5R1DF1T3AN,Económico Vino,53.07,82,El placer indulgente para tus antojos.,img00029.jpg,true
30,7,2SV11L3LFG,Local Vino,21.84,47,La opción más saludable para tu familia.,img00030.jpg,true
31,8,H8Y65RWT90,Natural Pechuga de Pollo,32.94,7,Disfruta de la mejor calidad en cada bocado.,img00031.jpg,true
32,6,IZITAO9IUL,Premium Pan Integral,64.82,39,El placer indulgente para tus antojos.,img00032.jpg,true
33,3,WMH8W8Q87R,Natural Queso,9.35,117,Disfruta de la mejor calidad en cada bocado.,img00033.jpg,true
34,6,WUPWLIVEW0,Delicioso Salmón,58.79,195,Empacado con nutrientes y sabor.,img00034.jpg,true
35,3,IT7543AAEO,Natural Helado,4.1,21,La opción más saludable para tu familia.,img00035.jpg,true
36,10,5210692KN1,Calidad Salmón,40.97,103,Cultivado localmente con prácticas sostenibles.,img00036.jpg,true
37,5,8WCZR44T3A,Premium Chocolate,13.85,125,Cultivado localmente con prácticas sostenibles.,img00037.jpg,true
38,1,B4X1FQLGWI,Orgánico Queso,68.72,9,Importado directamente para garantizar la frescura.,img00038.jpg,true
39,8,T08DKDZ4S7,Importado Vino,24.88,200,Cultivado localmente con prácticas sostenibles.,img00039.jpg,true
40,5,A3112VEVUI,Delicioso Pan Integral,38.17,125,El favorito de todos a un precio accesible.,img00040.jpg,true
41,4,SI9DJRH25Z,Calidad Queso,77.87,104,Selección premium para nuestros clientes.,img00041.jpg,true
42,6,GB0BVHGMB6,Importado Detergente,59.34,153,Empacado con nutrientes y sabor.,img00042.jpg,true
43,6,6XNTLMMCE7,Económico Manzanas,93.84,81,De los mejores productores locales.,img00043.jpg,true
44,4,HISM0TRF8E,Fresco Queso,89.52,21,El placer indulgente para tus antojos.,img00044.jpg,true
45,1,XV037GS8RH,Importado Pan Integral,12.14,62,El placer indulgente para tus antojos.,img00045.jpg,true
46,2,UCM3MTE3FG,Premium Helado,36.67,84,El complemento perfecto para cualquier comida.,img00046.jpg,true
47,8,GABR07BKXE,Delicioso Pechuga de Pollo,88.88,98,El favorito de todos a un precio accesible.,img00047.jpg,true
48,6,48QFSV7GSZ,Local Pechuga de Pollo,82.67,101,Disfruta de la mejor calidad en cada bocado.,img00048.jpg,true
49,7,UPGWEN3LKT,Fresco Lechuga,95.18,64,El complemento perfecto para cualquier comida.,img00049.jpg,true
50,1,B5Z9ZLLXOR,Calidad Pan Integral,20.37,45,Disfruta de la mejor calidad en cada bocado.,img00050.jpg,true
51,9,0QFOKF8ZAW,Fresco Lechuga,1.3,176,La opción más saludable para tu familia.,img00051.jpg,true
52,4,QE3OWOG5PG,Orgánico Pan Integral,11.58,121,Disfruta de la mejor calidad en cada bocado.,img00052.jpg,true
53,7,1V0GTS5Y09,Económico Chocolate,93.4,29,El favorito de todos a un precio accesible.,img00053.jpg,true
54,1,RAQLKPE8AQ,Calidad Pan Integral,46.3,130,El placer indulgente para tus antojos.,img00054.jpg,true
55,2,C75RK64GLN,Importado Helado,84.94,92,Selección premium para nuestros clientes.,img00055.jpg,true
56,1,QP235YC1E4,Delicioso Pechuga de Pollo,67.39,140,El favorito de todos a un precio accesible.,img00056.jpg,true
57,9,F61C7HTX3O,Delicioso Pan Integral,93.45,137,La opción más saludable para tu familia.,img00057.jpg,true
58,6,F2QWLNHV9D,Natural Helado,4.46,50,Selección premium para nuestros clientes.,img00058.jpg,true
59,8,F3PE8TFQER,Natural Vino,75.04,177,Cultivado localmente con prácticas sostenibles.,img00059.jpg,true
60,2,RWIUUL2HC3,Natural Helado,8.84,76,El placer indulgente para tus antojos.,img00060.jpg,true
61,8,6X5XAAYRZT,Natural Chocolate,40.21,79,Empacado con nutrientes y sabor.,img00061.jpg,true
62,4,AIWVJVYEF8,Fresco Vino,30.12,68,El favorito de todos a un precio accesible.,img00062.jpg,true
63,5,1DCO1XOFD4,Premium Salmón,61.0,191,El placer indulgente para tus antojos.,img00063.jpg,true
64,9,5W26LUKIG9,Importado Helado,98.92,68,El placer indulgente para tus antojos.,img00064.jpg,true
65,5,N0UA2487I7,Premium Lechuga,9.0,122,Selección premium para nuestros clientes.,img00065.jpg,true
66,5,I841L1JXQ0,Premium Pechuga de Pollo,17.07,60,El complemento perfecto para cualquier comida.,img00066.jpg,true
67,2,779XA04PYD,Natural Pan Integral,16.92,104,De los mejores productores locales.,img00067.jpg,true
68,1,HUWVDFMLUJ,Premium Salmón,98.88,43,La opción más saludable para tu familia.,img00068.jpg,true
69,10,3D4U7E6J32,Fresco Pan Integral,50.34,48,El placer indulgente para tus antojos.,img00069.jpg,true
70,10,YQZHAALPKB,Natural Lechuga,16.42,42,De los mejores productores locales.,img00070.jpg,true
71,3,PAY8YBTSM7,Fresco Pan Integral,9.16,54,El placer indulgente para tus antojos.,img00071.jpg,true
72,10,WOBGL0IMJ8,Calidad Salmón,9.09,145,Importado directamente para garantizar la frescura.,img00072.jpg,true
73,6,05JWYJ4Z1J,Calidad Pan Integral,39.48,134,De los mejores productores locales.,img00073.jpg,true
74,5,ZZP9CMGXI1,Premium Chocolate,69.05,147,Cultivado localmente con prácticas sostenibles.,img00074.jpg,true
75,4,ZHS2KJC01A,Delicioso Detergente,88.26,180,El favorito de todos a un precio accesible.,img00075.jpg,true
76,7,4Y6KN5TG41,Premium Helado,24.08,23,Selección premium para nuestros clientes.,img00076.jpg,true
77,10,1JU28L2Y11,Premium Pechuga de Pollo,85.25,157,El favorito de todos a un precio accesible.,img00077.jpg,true
78,7,ZGKGLBI3KL,Premium Pechuga de Pollo,35.38,42,Cultivado localmente con prácticas sostenibles.,img00078.jpg,true
79,1,J2UMY4TRJ1,Premium Detergente,94.99,106,Disfruta de la mejor calidad en cada bocado.,img00079.jpg,true
80,9,ZUCLRAFXZD,Local Queso,66.4,101,El placer indulgente para tus antojos.,img00080.jpg,true
81,6,FMZF07VULJ,Económico Salmón,51.93,79,Importado directamente para garantizar la frescura.,img00081.jpg,true
82,1,OZ0G1D2FVV,Orgánico Pechuga de Pollo,58.23,148,De los mejores productores locales.,img00082.jpg,true
83,1,49RFMNG1SA,Calidad Detergente,20.66,140,Empacado con nutrientes y sabor.,img00083.jpg,true
84,1,IFSMUC0EKJ,Delicioso Detergente,47.76,48,Importado directamente para garantizar la frescura.,img00084.jpg,true
85,4,3SNAFRP7ZX,Premium Queso,87.93,161,Disfruta de la mejor calidad en cada bocado.,img00085.jpg,true
86,9,D4VDSI8VCO,Orgánico Chocolate,63.83,158,Disfruta de la mejor calidad en cada bocado.,img00086.jpg,true
87,4,LVJR4MU54L,Calidad Helado,84.56,61,El favorito de todos a un precio accesible.,img00087.jpg,true
88,7,WSLBN4RCMR,Local Salmón,10.18,58,Empacado con nutrientes y sabor.,img00088.jpg,true
89,8,0L1YW4U5WA,Natural Pechuga de Pollo,74.8,196,El placer indulgente para tus antojos.,img00089.jpg,true
90,5,VSES5BX8Y0,Económico Vino,80.77,7,Cultivado localmente con prácticas sostenibles.,img00090.jpg,true
91,1,J10BBKDCNW,Delicioso Pechuga de Pollo,38.1,88,Disfruta de la mejor calidad en cada bocado.,img00091.jpg,true
92,5,KOSHRD418V,Premium Helado,15.43,191,El placer indulgente para tus antojos.,img00092.jpg,true
93,7,FZVJREJAY5,Delicioso Pechuga de Pollo,19.73,165,Cultivado localmente con prácticas sostenibles.,img00093.jpg,true
94,5,QY479MUUWC,Premium Pechuga de Pollo,98.88,93,El favorito de todos a un precio accesible.,img00094.jpg,true
95,10,TXH253CX9T,Económico Vino,24.57,130,Cultivado localmente con prácticas sostenibles.,img00095.jpg,true
96,5,Y32BXCC53Y,Calidad Lechuga,9.26,115,El favorito de todos a un precio accesible.,img00096.jpg,true
97,6,SV8DSO4QZF,Delicioso Chocolate,6.6,174,Cultivado localmente con prácticas sostenibles.,img00097.jpg,true
98,6,MQTQJ4V8LH,Económico Lechuga,4.84,99,La opción más saludable para tu familia.,img00098.jpg,true
99,1,PYAYXA2CDJ,Premium Manzanas,17.33,118,De los mejores productores locales.,img00099.jpg,true
100,8,TUHZDUDZ6Y,Importado Queso,7.31,158,El favorito de todos a un precio accesible.,img00100.jpg,true
101,5,EO78GBHZV9,Natural Detergente,92.99,36,Importado directamente para garantizar la frescura.,img00101.jpg,true
102,10,XJFILCQDRB,Natural Vino,96.76,147,Cultivado localmente con prácticas sostenibles.,img00102.jpg,true
103,2,VIWWEIRHMX,Orgánico Salmón,49.59,102,Cultivado localmente con prácticas sostenibles.,img00103.jpg,true
104,1,I3B68IZBJW,Premium Pechuga de Pollo,23.62,154,De los mejores productores locales.,img00104.jpg,true
105,8,H6ZV2R7XT8,Premium Pan Integral,58.44,182,Selección premium para nuestros clientes.,img00105.jpg,true
106,10,GKWXUYHGCG,Natural Pan Integral,67.76,52,La opción más saludable para tu familia.,img00106.jpg,true
107,4,AUZ64SD21C,Natural Lechuga,79.65,161,El favorito de todos a un precio accesible.,img00107.jpg,true
108,9,OMK93846MH,Local Manzanas,60.58,177,De los mejores productores locales.,img00108.jpg,true
109,10,6G0FFJBLZ9,Delicioso Manzanas,2.44,24,La opción más saludable para tu familia.,img00109.jpg,true
110,8,STOTJLUIWV,Económico Queso,17.52,29,El complemento perfecto para cualquier comida.,img00110.jpg,true
111,1,LBOSMMA87V,Natural Chocolate,12.91,12,El placer indulgente para tus antojos.,img00111.jpg,true
112,8,ACIH8GMPFV,Calidad Manzanas,93.26,14,De los mejores productores locales.,img00112.jpg,true
113,5,JZ8L844NB5,Fresco Manzanas,72.14,121,De los mejores productores locales.,img00113.jpg,true
114,4,42Z11JKQU0,Local Chocolate,1.61,199,Selección premium para nuestros clientes.,img00114.jpg,true
115,1,XJJAX026C0,Premium Detergente,9.86,61,De los mejores productores locales.,img00115.jpg,true
116,6,BHJC56DSVV,Fresco Chocolate,49.99,110,Selección premium para nuestros clientes.,img00116.jpg,true
117,7,TSA9AG1P0B,Orgánico Pechuga de Pollo,20.84,5,Empacado con nutrientes y sabor.,img00117.jpg,true
118,3,GFXQLOPDU5,Orgánico Manzanas,5.64,109,El placer indulgente para tus antojos.,img00118.jpg,true
119,4,Z98W7RKJWA,Premium Queso,47.15,105,Importado directamente para garantizar la frescura.,img00119.jpg,true
120,8,HFU46MPN2Q,Calidad Vino,51.12,82,Selección premium para nuestros clientes.,img00120.jpg,true
121,10,5N7T7BPOC1,Orgánico Queso,65.2,18,El favorito de todos a un precio accesible.,img00121.jpg,true
122,6,FZUFZAJCA6,Delicioso Pechuga de Pollo,70.04,163,De los mejores productores locales.,img00122.jpg,true
123,7,C1QVQFEF1U,Económico Vino,13.84,174,Cultivado localmente con prácticas sostenibles.,img00123.jpg,true
124,7,7A1C8I2MKD,Local Lechuga,90.18,5,Selección premium para nuestros clientes.,img00124.jpg,true
125,8,L33U96EVF8,Delicioso Salmón,22.08,61,Selección premium para nuestros clientes.,img00125.jpg,true
126,4,ZD8HPAVX5C,Premium Salmón,2.34,174,El favorito de todos a un precio accesible.,img00126.jpg,true
127,4,622TMZAP9K,Importado Detergente,29.35,20,La opción más saludable para tu familia.,img00127.jpg,true
128,4,HL392KM43F,Importado Helado,70.37,8,Empacado con nutrientes y sabor.,img00128.jpg,true
129,5,8FHYFGYRCJ,Local Lechuga,18.28,125,Importado directamente para garantizar la frescura.,img00129.jpg,true
130,6,GK8231UDH4,Premium Pan Integral,58.5,41,De los mejores productores locales.,img00130.jpg,true
131,7,KDVK8HTRPM,Premium Vino,25.33,38,Cultivado localmente con prácticas sostenibles.,img00131.jpg,true
132,2,DVPPD5BJET,Económico Salmón,30.95,130,El placer indulgente para tus antojos.,img00132.jpg,true
133,9,WGCFZR9O2S,Fresco Chocolate,32.88,115,El complemento perfecto para cualquier comida.,img00133.jpg,true
134,6,U4SH21OQXO,Económico Salmón,42.29,105,La opción más saludable para tu familia.,img00134.jpg,true
135,2,YDK101KX1E,Premium Vino,77.15,50,Disfruta de la mejor calidad en cada bocado.,img00135.jpg,true
136,1,6XHKD2VG9U,Calidad Salmón,69.06,24,La opción más saludable para tu familia.,img00136.jpg,true
137,4,3TLKSE2ERO,Delicioso Helado,58.98,17,La opción más saludable para tu familia.,img00137.jpg,true
138,6,0CV11ZE5JW,Calidad Detergente,70.72,195,El placer indulgente para tus antojos.,img00138.jpg,true
139,2,KLBH9EMCZ1,Local Salmón,69.4,8,Selección premium para nuestros clientes.,img00139.jpg,true
140,2,XPZ1YL9BYV,Delicioso Helado,54.27,20,Importado directamente para garantizar la frescura.,img00140.jpg,true
141,3,DSJ5GZKANX,Fresco Manzanas,93.7,67,Disfruta de la mejor calidad en cada bocado.,img00141.jpg,true
142,1,ZO7HHT0SDR,Natural Vino,1.51,48,Importado directamente para garantizar la frescura.,img00142.jpg,true
143,4,G3GCH007QS,Calidad Pechuga de Pollo,60.5,107,El placer indulgente para tus antojos.,img00143.jpg,true
144,3,N3SB5BK5PG,Natural Pechuga de Pollo,51.33,75,Disfruta de la mejor calidad en cada bocado.,img00144.jpg,true
145,4,EM5BL909N3,Natural Manzanas,81.53,187,De los mejores productores locales.,img00145.jpg,true
146,1,4HVPPVYSY7,Natural Lechuga,0.61,96,De los mejores productores locales.,img00146.jpg,true
147,7,UBMWR7W52Y,Calidad Vino,14.08,198,El complemento perfecto para cualquier comida.,img00147.jpg,true
148,5,S03X7DSF7O,Local Pan Integral,26.05,150,Importado directamente para garantizar la frescura.,img00148.jpg,true
149,6,7MI9NK6WID,Orgánico Detergente,22.94,82,El favorito de todos a un precio accesible.,img00149.jpg,true
150,4,D037SJ2RUN,Fresco Vino,1.28,77,Cultivado localmente con prácticas sostenibles.,img00150.jpg,true
151,2,AP403RIHNF,Calidad Pechuga de Pollo,18.61,141,El favorito de todos a un precio accesible.,img00151.jpg,true
152,4,1HAU5B31SE,Premium Detergente,97.04,38,Disfruta de la mejor calidad en cada bocado.,img00152.jpg,true
153,5,N6X4SP6880,Delicioso Vino,43.96,58,Empacado con nutrientes y sabor.,img00153.jpg,true
154,2,7T1UMZZKGY,Local Lechuga,53.72,123,Cultivado localmente con prácticas sostenibles.,img00154.jpg,true
155,1,VMLZ0QDHA4,Delicioso Pan Integral,47.68,70,Disfruta de la mejor calidad en cada bocado.,img00155.jpg,true
156,2,G0DA2NZSI9,Calidad Lechuga,42.67,16,La opción más saludable para tu familia.,img00156.jpg,true
157,7,3S9Q7CF21X,Fresco Salmón,77.95,32,Cultivado localmente con prácticas sostenibles.,img00157.jpg,true
158,3,CARY5D3UDL,Orgánico Lechuga,55.09,132,De los mejores productores locales.,img00158.jpg,true
159,1,5U669A4MML,Fresco Chocolate,49.56,77,El favorito de todos a un precio accesible.,img00159.jpg,true
160,2,NAUOGSN9R5,Delicioso Lechuga,90.39,145,Cultivado localmente con prácticas sostenibles.,img00160.jpg,true
161,3,LOZH7PPHPG,Premium Manzanas,29.23,75,Selección premium para nuestros clientes.,img00161.jpg,true
162,4,KVPERYTVM7,Delicioso Manzanas,28.51,26,El placer indulgente para tus antojos.,img00162.jpg,true
163,9,NE3YW5DPLN,Local Manzanas,53.56,88,El placer indulgente para tus antojos.,img00163.jpg,true
164,7,TCPG9BJZLB,Económico Queso,27.73,71,Disfruta de la mejor calidad en cada bocado.,img00164.jpg,true
165,3,AUY6AH0C7P,Natural Pan Integral,62.85,27,El complemento perfecto para cualquier comida.,img00165.jpg,true
166,3,I9VBC00Z53,Fresco Lechuga,24.22,66,El placer indulgente para tus antojos.,img00166.jpg,true
167,2,JS61N7AN6D,Orgánico Helado,36.84,32,Selección premium para nuestros clientes.,img00167.jpg,true
168,6,PRWR3FRWSY,Importado Chocolate,74.47,107,Disfruta de la mejor calidad en cada bocado.,img00168.jpg,true
169,8,4PWZ11MGV9,Fresco Pan Integral,65.2,157,Cultivado localmente con prácticas sostenibles.,img00169.jpg,true
170,4,AMJJ7UA25B,Local Pan Integral,90.32,116,El favorito de todos a un precio accesible.,img00170.jpg,true
171,7,VLUEAR3UVP,Importado Detergente,83.24,9,De los mejores productores locales.,img00171.jpg,true
172,10,LYJ3OZE1D2,Calidad Vino,43.67,106,La opción más saludable para tu familia.,img00172.jpg,true
173,9,7Y98VUF1VI,Fresco Pechuga de Pollo,46.96,22,Selección premium para nuestros clientes.,img00173.jpg,true
174,9,OQD2MVRCS8,Importado Pan Integral,96.29,24,El favorito de todos a un precio accesible.,img00174.jpg,true
175,8,WTJVOM0XV8,Delicioso Salmón,6.05,34,La opción más saludable para tu familia.,img00175.jpg,true
176,6,QJEPURMY6K,Natural Chocolate,44.55,12,Disfruta de la mejor calidad en cada bocado.,img00176.jpg,true
177,7,B4NMM1SQNI,Económico Helado,11.88,147,El complemento perfecto para cualquier comida.,img00177.jpg,true
178,6,9WBMZG3B0L,Fresco Pechuga de Pollo,18.41,180,El complemento perfecto para cualquier comida.,img00178.jpg,true
179,8,2EZRT56ER7,Premium Salmón,42.88,128,El favorito de todos a un precio accesible.,img00179.jpg,true
180,4,C6N35NOR8K,Orgánico Queso,31.87,5,Empacado con nutrientes y sabor.,img00180.jpg,true
181,7,P1RCUYIPAO,Delicioso Pechuga de Pollo,99.45,167,El placer indulgente para tus antojos.,img00181.jpg,true
182,1,HYS3E5B3DX,Calidad Vino,45.98,132,Cultivado localmente con prácticas sostenibles.,img00182.jpg,true
183,4,4X2IXSU84D,Local Queso,30.22,130,Importado directamente para garantizar la frescura.,img00183.jpg,true
184,10,5BQU1JHN8C,Natural Detergente,83.05,180,Selección premium para nuestros clientes.,img00184.jpg,true
185,4,PUXE8HTPIX,Importado Helado,71.0,117,Importado directamente para garantizar la frescura.,img00185.jpg,true
186,1,BOXNYWOCFZ,Premium Lechuga,13.43,42,El placer indulgente para tus antojos.,img00186.jpg,true
187,8,2VEH4AMRUW,Fresco Salmón,15.39,25,Selección premium para nuestros clientes.,img00187.jpg,true
188,9,LX37UW8QJU,Importado Salmón,58.74,48,De los mejores productores locales.,img00188.jpg,true
189,9,X932PVKXEX,Natural Salmón,57.96,37,De los mejores productores locales.,img00189.jpg,true
190,4,ZM6MS38FHI,Económico Pechuga de Pollo,61.24,94,Disfruta de la mejor calidad en cada bocado.,img00190.jpg,true
191,7,NMMFKHY6BE,Delicioso Pechuga de Pollo,8.89,164,Selección premium para nuestros clientes.,img00191.jpg,true
192,8,KYY2SCL6TI,Calidad Helado,72.76,29,La opción más saludable para tu familia.,img00192.jpg,true
193,7,P1N32EH9UD,Orgánico Salmón,62.08,81,Disfruta de la mejor calidad en cada bocado.,img00193.jpg,true
194,7,S2XPG74FOL,Importado Lechuga,72.91,129,Cultivado localmente con prácticas sostenibles.,img00194.jpg,true
195,7,SUFRGLJHDC,Importado Vino,72.14,110,Selección premium para nuestros clientes.,img00195.jpg,true
196,1,NG9P39EMO2,Natural Vino,30.49,129,Selección premium para nuestros clientes.,img00196.jpg,true
197,2,R2IR1MKX24,Económico Salmón,50.87,50,La opción más saludable para tu familia.,img00197.jpg,true
198,4,X0V2RQ9MGV,Calidad Chocolate,35.73,50,El favorito de todos a un precio accesible.,img00198.jpg,true
199,1,7O6HO8SM2V,Local Queso,22.71,199,De los mejores productores locales.,img00199.jpg,true
200,6,56LRH0HP8C,Natural Pan Integral,44.37,96,Disfruta de la mejor calidad en cada bocado.,img00200.jpg,true
