idarticulo,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado
201,8,WRUKTZT5FR,Premium Manzanas,11.74,200,Cultivado localmente con prácticas sostenibles.,img00201.jpg,true
202,1,36PJQLPK10,Orgánico Queso,57.1,82,Empacado con nutrientes y sabor.,img00202.jpg,true
203,7,8SHDUVH72V,Orgánico Salmón,94.76,166,El favorito de todos a un precio accesible.,img00203.jpg,true
204,10,QQ7R8FTZ8V,Orgánico Manzanas,31.35,165,El placer indulgente para tus antojos.,img00204.jpg,true
205,7,UGX6NQC6Z1,Natural Pan Integral,74.2,113,Empacado con nutrientes y sabor.,img00205.jpg,true
206,9,4FNTARRK46,Delicioso Detergente,92.09,3,Importado directamente para garantizar la frescura.,img00206.jpg,true
207,1,LNURSDUGD9,Calidad Vino,79.54,186,El favorito de todos a un precio accesible.,img00207.jpg,true
208,2,2NCYN014Q9,Orgánico Helado,45.11,192,Selección premium para nuestros clientes.,img00208.jpg,true
209,7,DAMQX5ZZIM,Natural Lechuga,43.58,107,La opción más saludable para tu familia.,img00209.jpg,true
210,8,PVKHNH0YIV,Natural Detergente,30.17,97,De los mejores productores locales.,img00210.jpg,true
211,9,PIUSB18RVC,Local Pechuga de Pollo,95.85,80,Cultivado localmente con prácticas sostenibles.,img00211.jpg,true
212,10,1V67V7WWPC,Económico Chocolate,74.63,104,La opción más saludable para tu familia.,img00212.jpg,true
213,8,E1F4BCOOX0,Importado Detergente,44.4,158,La opción más saludable para tu familia.,img00213.jpg,true
214,6,2KPUTM8PNF,Orgánico Helado,44.25,108,Disfruta de la mejor calidad en cada bocado.,img00214.jpg,true
215,10,PWL4IFWDHV,Local Queso,29.71,49,Selección premium para nuestros clientes.,img00215.jpg,true
216,6,O90P7Z2Q1P,Local Salmón,73.38,97,La opción más saludable para tu familia.,img00216.jpg,true
217,7,D8U7F8FTJV,Delicioso Helado,59.84,11,Importado directamente para garantizar la frescura.,img00217.jpg,true
218,10,IRME62JLLG,Natural Manzanas,99.13,196,El complemento perfecto para cualquier comida.,img00218.jpg,true
219,6,ZA5FV6OMKR,Natural Chocolate,39.28,42,Disfruta de la mejor calidad en cada bocado.,img00219.jpg,true
220,6,OQCQL2R782,Importado Chocolate,81.92,136,El favorito de todos a un precio accesible.,img00220.jpg,true
221,3,6MGJLKCX0B,Natural Chocolate,44.21,18,La opción más saludable para tu familia.,img00221.jpg,true
222,3,XNA9J39NK3,Fresco Chocolate,9.02,84,El placer indulgente para tus antojos.,img00222.jpg,true
223,7,OOFRQ4TGGQ,Natural Vino,17.51,193,Disfruta de la mejor calidad en cada bocado.,img00223.jpg,true
224,2,SUJDVLNAYC,Delicioso Pechuga de Pollo,44.07,105,El complemento perfecto para cualquier comida.,img00224.jpg,true
225,4,CUPOPAE3WZ,Calidad Lechuga,29.31,16,La opción más saludable para tu familia.,img00225.jpg,true
226,6,0ZY3U70AUU,Premium Vino,94.18,152,El complemento perfecto para cualquier comida.,img00226.jpg,true
227,5,3719BLURCZ,Local Vino,62.24,131,Cultivado localmente con prácticas sostenibles.,img00227.jpg,true
228,10,1M55Q2M3RR,Local Helado,64.97,63,Cultivado localmente con prácticas sostenibles.,img00228.jpg,true
229,3,6KXUQ489G8,Importado Chocolate,9.56,172,Selección premium para nuestros clientes.,img00229.jpg,true
230,1,NEVCK4EYX6,Fresco Helado,84.08,175,El complemento perfecto para cualquier comida.,img00230.jpg,true
231,10,S3IJH8IZH4,Premium Pechuga de Pollo,74.98,159,Importado directamente para garantizar la frescura.,img00231.jpg,true
232,8,6CKX5MN4Y7,Importado Queso,88.32,92,De los mejores productores locales.,img00232.jpg,true
233,3,C01EY2Z8J1,Natural Chocolate,91.72,131,Selección premium para nuestros clientes.,img00233.jpg,true
234,1,P2PGRBIGIQ,Premium Pechuga de Pollo,45.85,123,El complemento perfecto para cualquier comida.,img00234.jpg,true
235,9,44SOFVHTBN,Importado Pechuga de Pollo,15.81,82,De los mejores productores locales.,img00235.jpg,true
236,1,FV2GVZXRGD,Orgánico Helado,75.78,23,El favorito de todos a un precio accesible.,img00236.jpg,true
237,10,5P97JDXWKC,Económico Pechuga de Pollo,82.41,25,La opción más saludable para tu familia.,img00237.jpg,true
238,10,DCA4TUM5VX,Importado Helado,89.93,34,Importado directamente para garantizar la frescura.,img00238.jpg,true
239,4,NTZ6O54QHH,Premium Salmón,23.3,36,Selección premium para nuestros clientes.,img00239.jpg,true
240,4,WS8DER2P14,Natural Salmón,81.45,16,Disfruta de la mejor calidad en cada bocado.,img00240.jpg,true
241,9,ZDTD421MOW,Local Helado,97.9,78,Empacado con nutrientes y sabor.,img00241.jpg,true
242,4,8A8BKTMG7O,Calidad Detergente,16.96,150,De los mejores productores locales.,img00242.jpg,true
243,8,UPYHP80ZBH,Orgánico Queso,43.75,199,La opción más saludable para tu familia.,img00243.jpg,true
244,7,E7VCKK2CUA,Fresco Helado,98.64,129,El placer indulgente para tus antojos.,img00244.jpg,true
245,3,FKM4OSZCF8,Fresco Queso,99.3,150,Empacado con nutrientes y sabor.,img00245.jpg,true
246,1,7FJNPW5O1J,Económico Lechuga,60.67,147,El complemento perfecto para cualquier comida.,img00246.jpg,true
247,2,88B9JAICVQ,Orgánico Manzanas,4.87,59,La opción más saludable para tu familia.,img00247.jpg,true
248,4,7QA9MMAQ22,Premium Salmón,50.69,165,El placer indulgente para tus antojos.,img00248.jpg,true
249,1,3IGLQ11O2K,Premium Lechuga,10.49,36,El placer indulgente para tus antojos.,img00249.jpg,true
250,1,0UI3CNL8XI,Natural Salmón,54.92,182,Disfruta de la mejor calidad en cada bocado.,img00250.jpg,true
251,4,HKZX77HI6Y,Premium Chocolate,70.03,58,El complemento perfecto para cualquier comida.,img00251.jpg,true
252,6,ECGZ7B2VHK,Natural Pechuga de Pollo,19.73,44,El complemento perfecto para cualquier comida.,img00252.jpg,true
253,8,BWRAMLGG34,Premium Pan Integral,54.72,29,El placer indulgente para tus antojos.,img00253.jpg,true
254,5,FNANXJR8V3,Premium Chocolate,41.09,71,Empacado con nutrientes y sabor.,img00254.jpg,true
255,4,P9LLKP2V1N,Calidad Chocolate,28.6,123,Cultivado localmente con prácticas sostenibles.,img00255.jpg,true
256,4,WM596HEFAW,Importado Chocolate,53.91,106,El placer indulgente para tus antojos.,img00256.jpg,true
257,2,YF8U08699Q,Fresco Chocolate,18.39,145,De los mejores productores locales.,img00257.jpg,true
258,10,29580ARCHV,Orgánico Salmón,59.7,17,Selección premium para nuestros clientes.,img00258.jpg,true
259,8,KPZVYV77JX,Premium Pechuga de Pollo,30.4,18,La opción más saludable para tu familia.,img00259.jpg,true
260,2,ZX76WVBLHE,Local Vino,43.99,92,La opción más saludable para tu familia.,img00260.jpg,true
261,10,DC91B1G3KV,Premium Queso,78.27,8,El favorito de todos a un precio accesible.,img00261.jpg,true
262,8,RBX0LGUI75,Calidad Helado,5.51,192,De los mejores productores locales.,img00262.jpg,true
263,5,QFN2RRBJX7,Económico Helado,42.52,174,Selección premium para nuestros clientes.,img00263.jpg,true
264,4,67QHYUFG5V,Fresco Chocolate,43.73,58,De los mejores productores locales.,img00264.jpg,true
265,5,DY7BL8X6YU,Natural Pan Integral,9.22,48,Disfruta de la mejor calidad en cada bocado.,img00265.jpg,true
266,9,M68Y1QXTZB,Importado Manzanas,5.76,87,Importado directamente para garantizar la frescura.,img00266.jpg,true
267,8,IOBZHE83NV,Fresco Detergente,74.64,184,El complemento perfecto para cualquier comida.,img00267.jpg,true
268,10,JDP4ZD5C8M,Económico Helado,78.77,101,El placer indulgente para tus antojos.,img00268.jpg,true
269,6,I9HSS135I3,Fresco Detergente,75.1,143,Importado directamente para garantizar la frescura.,img00269.jpg,true
270,4,FWT2L27K9T,Delicioso Detergente,38.52,14,El favorito de todos a un precio accesible.,img00270.jpg,true
271,2,FWJ9WTWCE2,Orgánico Pechuga de Pollo,24.32,155,Disfruta de la mejor calidad en cada bocado.,img00271.jpg,true
272,1,JFSW7ABX9C,Natural Pechuga de Pollo,13.43,38,De los mejores productores locales.,img00272.jpg,true
273,6,SVGOVDGIWI,Económico Pan Integral,77.56,112,Cultivado localmente con prácticas sostenibles.,img00273.jpg,true
274,4,KI71Q4Y6WK,Natural Detergente,15.21,37,El placer indulgente para tus antojos.,img00274.jpg,true
275,3,J9ITJ6Y153,Local Pechuga de Pollo,84.46,80,Disfruta de la mejor calidad en cada bocado.,img00275.jpg,true
276,1,NLC398SCAM,Premium Salmón,4.67,157,De los mejores productores locales.,img00276.jpg,true
277,5,Q9Y514HT0K,Local Pan Integral,9.38,157,Empacado con nutrientes y sabor.,img00277.jpg,true
278,6,6TZR3KIR2B,Natural Salmón,95.68,101,Selección premium para nuestros clientes.,img00278.jpg,true
279,7,JTDLM25F1I,Fresco Pan Integral,3.76,128,Selección premium para nuestros clientes.,img00279.jpg,true
280,9,LL9PVEDYSP,Orgánico Chocolate,65.88,200,Cultivado localmente con prácticas sostenibles.,img00280.jpg,true
281,4,KXL5LCG0VD,Local Lechuga,92.88,59,Empacado con nutrientes y sabor.,img00281.jpg,true
282,4,L5KOKGPAE4,Orgánico Vino,34.1,111,La opción más saludable para tu familia.,img00282.jpg,true
283,1,PO3DRX642G,Premium Detergente,47.24,99,Empacado con nutrientes y sabor.,img00283.jpg,true
284,2,FLOQ6NDG3K,Natural Queso,79.05,103,De los mejores productores locales.,img00284.jpg,true
285,7,PHHK2Y71GC,Delicioso Lechuga,61.91,107,Cultivado localmente con prácticas sostenibles.,img00285.jpg,true
286,7,MZEMQH9HRM,Delicioso Chocolate,1.45,97,El placer indulgente para tus antojos.,img00286.jpg,true
287,6,UEPNLAHEFF,Económico Salmón,86.21,6,De los mejores productores locales.,img00287.jpg,true
288,1,DMAKJRSUCA,Calidad Vino,74.17,147,Empacado con nutrientes y sabor.,img00288.jpg,true
289,1,TCQWWUWCDP,Importado Salmón,70.63,135,El favorito de todos a un precio accesible.,img00289.jpg,true
290,2,I62UPXMHOL,Económico Salmón,33.09,123,De los mejores productores locales.,img00290.jpg,true
291,6,806JFVTDRK,Económico Salmón,50.99,182,El complemento perfecto para cualquier comida.,img00291.jpg,true
292,6,95SAP0OGOT,Económico Lechuga,20.13,177,Importado directamente para garantizar la frescura.,img00292.jpg,true
293,6,GV1ONAOR95,Importado Salmón,3.58,127,El placer indulgente para tus antojos.,img00293.jpg,true
294,4,5DCFMN24YC,Orgánico Chocolate,79.24,79,El complemento perfecto para cualquier comida.,img00294.jpg,true
295,2,C5S8IQ7CHU,Delicioso Pechuga de Pollo,29.13,44,De los mejores productores locales.,img00295.jpg,true
296,10,EUEYVG5TW4,Delicioso Pan Integral,56.28,25,De los mejores productores locales.,img00296.jpg,true
297,2,XUZK5KOHWU,Orgánico Pan Integral,35.41,100,De los mejores productores locales.,img00297.jpg,true
298,7,24EQ85LBCV,Calidad Queso,41.71,193,Importado directamente para garantizar la frescura.,img00298.jpg,true
299,9,UWEU5CCGB0,Económico Queso,55.14,138,Cultivado localmente con prácticas sostenibles.,img00299.jpg,true
300,5,4SUMSW0V84,Natural Pan Integral,81.83,34,Empacado con nutrientes y sabor.,img00300.jpg,true
301,6,310ELR2XC5,Económico Salmón,21.88,129,Selección premium para nuestros clientes.,img00301.jpg,true
302,10,ZDXR18JLHG,Orgánico Chocolate,90.94,109,El complemento perfecto para cualquier comida.,img00302.jpg,true
303,2,J2ANDBHX78,Premium Salmón,38.89,171,El complemento perfecto para cualquier comida.,img00303.jpg,true
304,9,O91KEJHWS0,Natural Pechuga de Pollo,4.36,150,Cultivado localmente con prácticas sostenibles.,img00304.jpg,true
305,7,UDVMI2GXAM,Natural Chocolate,44.91,65,El favorito de todos a un precio accesible.,img00305.jpg,true
306,3,UI955HJYR9,Fresco Detergente,99.5,189,El favorito de todos a un precio accesible.,img00306.jpg,true
307,8,PXNB61CKRS,Calidad Detergente,76.15,134,El complemento perfecto para cualquier comida.,img00307.jpg,true
308,7,KDBF8OU1LG,Importado Pechuga de Pollo,80.95,48,De los mejores productores locales.,img00308.jpg,true
309,1,J7336IKMOB,Económico Salmón,76.61,165,El placer indulgente para tus antojos.,img00309.jpg,true
310,8,0DQWAHDIVU,Premium Helado,5.79,44,Importado directamente para garantizar la frescura.,img00310.jpg,true
311,8,W9ENXRUTMW,Natural Vino,36.29,25,Disfruta de la mejor calidad en cada bocado.,img00311.jpg,true
312,2,B1UKDJKBW3,Económico Salmón,30.03,104,Importado directamente para garantizar la frescura.,img00312.jpg,true
313,3,R2U7C518ER,Fresco Manzanas,13.89,73,El favorito de todos a un precio accesible.,img00313.jpg,true
314,1,TNLCIAZEHP,Orgánico Queso,68.93,80,De los mejores productores locales.,img00314.jpg,true
315,6,NDZZUTQZGP,Orgánico Pechuga de Pollo,40.73,183,La opción más saludable para tu familia.,img00315.jpg,true
316,9,0DGXIIYF1E,Premium Helado,24.9,28,El favorito de todos a un precio accesible.,img00316.jpg,true
317,8,YWX52GBXRU,Fresco Pechuga de Pollo,19.35,163,Empacado con nutrientes y sabor.,img00317.jpg,true
318,6,LEWY4W6BNV,Natural Vino,23.41,181,El favorito de todos a un precio accesible.,img00318.jpg,true
319,2,T2K2ZA62PZ,Económico Manzanas,77.3,15,El favorito de todos a un precio accesible.,img00319.jpg,true
320,1,NAXP3AE2BW,Orgánico Pechuga de Pollo,40.34,84,De los mejores productores locales.,img00320.jpg,true
321,8,SA7YRPQ2X0,Orgánico Detergente,76.94,106,El placer indulgente para tus antojos.,img00321.jpg,true
322,9,HIZROSOEPO,Calidad Pechuga de Pollo,99.72,111,Selección premium para nuestros clientes.,img00322.jpg,true
323,8,OPZCRM947X,Económico Chocolate,22.84,105,El favorito de todos a un precio accesible.,img00323.jpg,true
324,6,B6G151MQVR,Natural Manzanas,12.37,49,Selección premium para nuestros clientes.,img00324.jpg,true
325,4,K813EYCC7R,Importado Queso,11.8,159,Cultivado localmente con prácticas sostenibles.,img00325.jpg,true
326,4,L15M918FK3,Premium Detergente,61.4,107,Importado directamente para garantizar la frescura.,img00326.jpg,true
327,8,SRYXYNR3ZK,Delicioso Salmón,27.5,162,El placer indulgente para tus antojos.,img00327.jpg,true
328,5,KJBQ20WAQY,Local Manzanas,99.11,188,Empacado con nutrientes y sabor.,img00328.jpg,true
329,3,S0MWJHBZT2,Calidad Salmón,72.72,170,El placer indulgente para tus antojos.,img00329.jpg,true
330,8,7FU56PU5CL,Delicioso Vino,39.71,156,Selección premium para nuestros clientes.,img00330.jpg,true
331,8,PDM7LHAMSN,Natural Salmón,11.22,194,El complemento perfecto para cualquier comida.,img00331.jpg,true
332,1,GDBVUUN5OG,Económico Chocolate,71.55,182,Disfruta de la mejor calidad en cada bocado.,img00332.jpg,true
333,10,E8PN9YTLM4,Fresco Vino,48.53,131,Cultivado localmente con prácticas sostenibles.,img00333.jpg,true
334,2,AKH24URO3A,Local Lechuga,27.68,11,El placer indulgente para tus antojos.,img00334.jpg,true
335,5,JFWNGM7WO6,Local Detergente,54.12,143,Importado directamente para garantizar la frescura.,img00335.jpg,true
336,3,7DTVL9VZAZ,Económico Pechuga de Pollo,49.5,94,Selección premium para nuestros clientes.,img00336.jpg,true
337,10,TMKMU2TXK0,Económico Detergente,39.41,28,De los mejores productores locales.,img00337.jpg,true
338,5,K9EE57663L,Local Helado,52.34,30,La opción más saludable para tu familia.,img00338.jpg,true
339,7,8Y9R1WLLAZ,Fresco Chocolate,61.6,61,La opción más saludable para tu familia.,img00339.jpg,true
340,1,64TGEU1KKR,Orgánico Lechuga,31.81,8,El complemento perfecto para cualquier comida.,img00340.jpg,true
341,3,46LCSBUAE2,Orgánico Vino,55.23,5,El placer indulgente para tus antojos.,img00341.jpg,true
342,6,XULHVLU4YW,Orgánico Vino,32.02,22,El placer indulgente para tus antojos.,img00342.jpg,true
343,9,7CV9EJS942,Delicioso Pan Integral,18.97,121,Cultivado localmente con prácticas sostenibles.,img00343.jpg,true
344,1,NWYO3XWR1R,Calidad Queso,62.2,97,La opción más saludable para tu familia.,img00344.jpg,true
345,2,AQ2D6FQHNL,Local Chocolate,92.41,135,Cultivado localmente con prácticas sostenibles.,img00345.jpg,true
346,9,J5SQSN4MJ5,Local Helado,37.35,79,El placer indulgente para tus antojos.,img00346.jpg,true
347,3,V8VBXC56SR,Local Helado,20.02,15,El placer indulgente para tus antojos.,img00347.jpg,true
348,10,P494RNLWEV,Fresco Pechuga de Pollo,78.15,105,El favorito de todos a un precio accesible.,img00348.jpg,true
349,6,112ZOS5GZO,Fresco Helado,4.08,66,Selección premium para nuestros clientes.,img00349.jpg,true
350,2,4LR5CDCZRL,Delicioso Chocolate,82.57,111,Cultivado localmente con prácticas sostenibles.,img00350.jpg,true
351,6,LT2Q92JTMC,Calidad Detergente,1.3,5,De los mejores productores locales.,img00351.jpg,true
352,1,YZOWXBYC7I,Económico Pechuga de Pollo,99.16,100,Selección premium para nuestros clientes.,img00352.jpg,true
353,2,VFRJ1W5GJA,Importado Vino,67.27,173,De los mejores productores locales.,img00353.jpg,true
354,10,NW5MQKA4SO,Orgánico Manzanas,70.99,115,Selección premium para nuestros clientes.,img00354.jpg,true
355,7,CU0CMWZC7V,Natural Lechuga,83.75,153,Selección premium para nuestros clientes.,img00355.jpg,true
356,6,G12OFNSD16,Natural Manzanas,65.84,31,Disfruta de la mejor calidad en cada bocado.,img00356.jpg,true
357,2,SEL44EY4YF,Premium Salmón,27.33,146,El complemento perfecto para cualquier comida.,img00357.jpg,true
358,2,8DB0XLCKBM,Económico Detergente,33.59,141,Selección premium para nuestros clientes.,img00358.jpg,true
359,4,DOEMZW5SV2,Económico Salmón,27.46,120,Disfruta de la mejor calidad en cada bocado.,img00359.jpg,true
360,4,EZHGZL47YP,Natural Helado,63.97,14,Disfruta de la mejor calidad en cada bocado.,img00360.jpg,true
361,10,PL6ALT787K,Natural Lechuga,75.81,134,La opción más saludable para tu familia.,img00361.jpg,true
362,5,J3URIYVYUN,Calidad Queso,22.51,68,Selección premium para nuestros clientes.,img00362.jpg,true
363,6,65LYMRVCOK,Orgánico Pan Integral,4.61,107,Empacado con nutrientes y sabor.,img00363.jpg,true
364,1,Y9C83IKKSP,Local Vino,6.69,135,Empacado con nutrientes y sabor.,img00364.jpg,true
365,4,9H5RZYVNT1,Importado Helado,66.89,160,Empacado con nutrientes y sabor.,img00365.jpg,true
366,10,9L6UURBCE3,Orgánico Pan Integral,86.13,47,El complemento perfecto para cualquier comida.,img00366.jpg,true
367,4,A0I9LH1U06,Económico Chocolate,47.93,23,El favorito de todos a un precio accesible.,img00367.jpg,true
368,4,RJEGMD0YBQ,Fresco Queso,44.12,74,Disfruta de la mejor calidad en cada bocado.,img00368.jpg,true
369,5,6O1SAW1IID,Natural Vino,17.25,32,Empacado con nutrientes y sabor.,img00369.jpg,true
370,3,HBT5HWHUEA,Importado Manzanas,23.66,138,La opción más saludable para tu familia.,img00370.jpg,true
371,6,PWU6XB68SU,Calidad Pan Integral,27.75,49,Cultivado localmente con prácticas sostenibles.,img00371.jpg,true
372,4,RI368KW0Z4,Local Lechuga,25.41,147,El placer indulgente para tus antojos.,img00372.jpg,true
373,2,F38D43HWEX,Natural Chocolate,83.67,83,Disfruta de la mejor calidad en cada bocado.,img00373.jpg,true
374,1,VJO9RRDMCM,Calidad Helado,44.8,84,El complemento perfecto para cualquier comida.,img00374.jpg,true
375,5,6S6DCLG6B9,Orgánico Salmón,68.64,59,El favorito de todos a un precio accesible.,img00375.jpg,true
376,1,W2PPGQ1YPH,Delicioso Manzanas,21.87,96,Empacado con nutrientes y sabor.,img00376.jpg,true
377,4,QSJ132E9QU,Importado Lechuga,59.2,63,Disfruta de la mejor calidad en cada bocado.,img00377.jpg,true
378,3,DFZZ6ZT7YB,Premium Pan Integral,14.41,121,La opción más saludable para tu familia.,img00378.jpg,true
379,2,0ATUKDLR14,Importado Vino,42.41,94,El complemento perfecto para cualquier comida.,img00379.jpg,true
380,5,0LPAOAGOC0,Delicioso Helado,9.2,148,Importado directamente para garantizar la frescura.,img00380.jpg,true
381,1,4UU63F9VAR,Delicioso Queso,12.72,138,Selección premium para nuestros clientes.,img00381.jpg,true
382,4,YGP88FCPC5,Fresco Pechuga de Pollo,12.05,179,Empacado con nutrientes y sabor.,img00382.jpg,true
383,7,48826BQW4D,Calidad Detergente,52.81,128,La opción más saludable para tu familia.,img00383.jpg,true
384,3,QY1D3BDHHC,Local Detergente,95.62,110,El placer indulgente para tus antojos.,img00384.jpg,true
385,4,476OKONP8Z,Fresco Pechuga de Pollo,31.88,42,El placer indulgente para tus antojos.,img00385.jpg,true
386,10,VG8G4QVGB7,Orgánico Chocolate,62.95,154,Importado directamente para garantizar la frescura.,img00386.jpg,true
387,2,LS66UARJGY,Económico Pechuga de Pollo,86.16,115,Importado directamente para garantizar la frescura.,img00387.jpg,true
388,3,VM9K8BPWY1,Importado Vino,84.42,133,Importado directamente para garantizar la frescura.,img00388.jpg,true
389,4,BAVQGVL3UV,Premium Vino,42.65,151,El complemento perfecto para cualquier comida.,img00389.jpg,true
390,1,KGMQGS9IVQ,Local Manzanas,70.72,58,De los mejores productores locales.,img00390.jpg,true
391,2,IDRVSZN5N7,Económico Chocolate,15.14,186,Cultivado localmente con prácticas sostenibles.,img00391.jpg,true
392,3,YOYI4O8X9X,Fresco Detergente,70.58,143,El complemento perfecto para cualquier comida.,img00392.jpg,true
393,1,K5NS9WMR7M,Delicioso Manzanas,52.32,178,El placer indulgente para tus antojos.,img00393.jpg,true
394,7,OG6IAC5WFW,Natural Manzanas,99.66,135,El placer indulgente para tus antojos.,img00394.jpg,true
395,6,6YEYA6CM6O,Natural Vino,89.35,176,El complemento perfecto para cualquier comida.,img00395.jpg,true
396,9,ZGRTCGNGGP,Natural Queso,37.8,115,La opción más saludable para tu familia.,img00396.jpg,true
397,8,PQLR9D7NW6,Calidad Pan Integral,19.07,3,Importado directamente para garantizar la frescura.,img00397.jpg,true
398,9,GU56SOR5SB,Orgánico Pan Integral,31.92,3,El complemento perfecto para cualquier comida.,img00398.jpg,true
399,5,8YEVGW0YWR,Local Pechuga de Pollo,11.95,183,El placer indulgente para tus antojos.,img00399.jpg,true
400,2,WPXBQQTRL6,Delicioso Manzanas,8.53,16,El placer indulgente para tus antojos.,img00400.jpg,true
